BGD,ABR,Bangued,Abra
BOY,ABR,Boliney,Abra
BUY,ABR,Bucay,Abra
BCC,ABR,Bucloc,Abra
DGN,ABR,Daguioman,Abra
DLS,ABR,Danglas,Abra
DLR,ABR,Dolores,Abra
LPZ,ABR,La Paz,Abra
LCU,ABR,Lacub,Abra
LGG,ABR,Lagangilang,Abra
LYN,ABR,Lagayan,Abra
LGD,ABR,Langiden,Abra
LNB,ABR,Licuan-Baay,Abra
LUB,ABR,Luba,Abra
MLC,ABR,Malibcong,Abra
MNB,ABR,Manabo,Abra
PÑR,ABR,Peñarrubia,Abra
PDG,ABR,Pidigan,Abra
PLR,ABR,Pilar,Abra
SLD,ABR,Sallapadan,Abra
SNIS,ABR,San Isidro,Abra
SNJN,ABR,San Juan,Abra
SNQN,ABR,San Quintin,Abra
TYM,ABR,Tayum,Abra
TNG,ABR,Tineg,Abra
TBO,ABR,Tubo,Abra
VLC,ABR,Villaviciosa,Abra
BTU,AGN,Butuan,Agusan del Norte
CBD,AGN,Cabadbaran,Agusan del Norte
BNV,AGN,Buenavista,Agusan del Norte
CMN,AGN,Carmen,Agusan del Norte
JBG,AGN,Jabonga,Agusan del Norte
KTC,AGN,Kitcharao,Agusan del Norte
LNS,AGN,Las Nieves,Agusan del Norte
MGS,AGN,Magallanes,Agusan del Norte
NSP,AGN,Nasipit,Agusan del Norte
RTR,AGN,Remedios T. Romualdez,Agusan del Norte
SNT,AGN,Santiago,Agusan del Norte
TBY,AGN,Tubay,Agusan del Norte
BYG,AGS,Bayugan,Agusan del Sur
BNW,AGS,Bunawan,Agusan del Sur
ESP,AGS,Esperanza,Agusan del Sur
LPZ,AGS,La Paz,Agusan del Sur
LRT,AGS,Loreto,Agusan del Sur
PRS,AGS,Prosperidad,Agusan del Sur
RSR,AGS,Rosario,Agusan del Sur
SNFR,AGS,San Francisco,Agusan del Sur
SNLS,AGS,San Luis,Agusan del Sur
STJS,AGS,Santa Josefa,Agusan del Sur
SGT,AGS,Sibagat,Agusan del Sur
TLC,AGS,Talacogon,Agusan del Sur
TRN,AGS,Trento,Agusan del Sur
VRL,AGS,Veruela,Agusan del Sur
ALV,AKL,Altavas,Aklan
BLT,AKL,Balete,Aklan
BGA,AKL,Banga,Aklan
BAT,AKL,Batan,Aklan
BUR,AKL,Buruanga,Aklan
IBJ,AKL,Ibajay,Aklan
KLB,AKL,Kalibo,Aklan
LZO,AKL,Lezo,Aklan
LCO,AKL,Libacao,Aklan
MDG,AKL,Madalag,Aklan
MKO,AKL,Makato,Aklan
MLY,AKL,Malay,Aklan
MNO,AKL,Malinao,Aklan
NBS,AKL,Nabas,Aklan
NWWS,AKL,New Washington,Aklan
NMN,AKL,Numancia,Aklan
TNL,AKL,Tangalan,Aklan
LGZ,ALB,Legazpi,Albay
LGO,ALB,Ligao,Albay
TBC,ALB,Tabaco,Albay
BCY,ALB,Bacacay,Albay
CAM,ALB,Camalig,Albay
DRG,ALB,Daraga,Albay
GNB,ALB,Guinobatan,Albay
JVL,ALB,Jovellar,Albay
LIB,ALB,Libon,Albay
MPT,ALB,Malilipot,Albay
MNO,ALB,Malinao,Albay
MTO,ALB,Manito,Albay
OAS,ALB,Oas,Albay
PDR,ALB,Pio Duran,Albay
PGU,ALB,Polangui,Albay
RPU,ALB,Rapu-Rapu,Albay
STDM,ALB,Santo Domingo,Albay
TWI,ALB,Tiwi,Albay
ANY,ANT,Anini-y,Antique
BRZ,ANT,Barbaza,Antique
BEL,ANT,Belison,Antique
BGS,ANT,Bugasong,Antique
CLU,ANT,Caluya,Antique
CLS,ANT,Culasi,Antique
HMT,ANT,Hamtic,Antique
LAU,ANT,Laua-an,Antique
LBR,ANT,Libertad,Antique
PND,ANT,Pandan,Antique
PNO,ANT,Patnongon,Antique
SNJS,ANT,San Jose,Antique
SNRM,ANT,San Remigio,Antique
SBS,ANT,Sebaste,Antique
SBM,ANT,Sibalom,Antique
TIB,ANT,Tibiao,Antique
TFR,ANT,Tobias Fornier,Antique
VRM,ANT,Valderrama,Antique
CLN,APA,Calanasan,Apayao
CNR,APA,Conner,Apayao
FLR,APA,Flora,Apayao
KBG,APA,Kabugao,Apayao
LNA,APA,Luna,Apayao
PDT,APA,Pudtol,Apayao
SNMC,APA,Santa Marcela,Apayao
BLR,AUR,Baler,Aurora
CSG,AUR,Casiguran,Aurora
DIL,AUR,Dilasag,Aurora
DNN,AUR,Dinalungan,Aurora
DNL,AUR,Dingalan,Aurora
DPC,AUR,Dipaculao,Aurora
MAAU,AUR,Maria Aurora,Aurora
SNLS,AUR,San Luis,Aurora
ISB,BAS,Isabela,Basilan
LTN,BAS,Lamitan,Basilan
AKB,BAS,Akbar,Basilan
ABK,BAS,Al-Barka,Basilan
HMA,BAS,Hadji Mohammad Ajul,Basilan
HMH,BAS,Hadji Muhtamad,Basilan
LNT,BAS,Lantawan,Basilan
MSU,BAS,Maluso,Basilan
